id;University
1139;Not in Google Scholar
114;Not in Google Scholar
1140;Not in Google Scholar
1141;Johannes Kepler University Linz
1142;Not in Google Scholar
1143;ANUSANDHAN UNIVERSITY, BHUBANESWAR
1144;Not in Google Scholar
1145;Not in Google Scholar
1146;Not in Google Scholar
1147;Not in Google Scholar
1148;Not in Google Scholar
1149;Not in Google Scholar
115;Not in Google Scholar
1150;Not in Google Scholar
1151;Texas Tech University
1152;University of Cambridge
1153;Shimane University
1154;Not in Google Scholar
1155;Not in Google Scholar
1158;Not in Google Scholar
1159;Not in Google Scholar
116;Not in Google Scholar
1160;Not in Google Scholar
1161;Not in Google Scholar
1162;Not in Google Scholar
1163;University of Washington
1164;IAP
1165;Not in Google Scholar
1166;Not in Google Scholar
1167;University of Massachusetts Amherst
1168;Universität Bremen
1169;Not in Google Scholar
117;Not in Google Scholar
1170;Not in Google Scholar
1171;Not in Google Scholar
1172;Not in Google Scholar
1173;Stanford University
1174;Not in Google Scholar
1175;Chubu University
1176;Not in Google Scholar
1177;Ohio State University
1178;Not in Google Scholar
1179;Not in Google Scholar
118;Not in Google Scholar
1180;Not in Google Scholar
1181;Not in Google Scholar
1182;Not in Google Scholar
1183;California Institute of Technology
1184;Not in Google Scholar
1185;Not in Google Scholar
1186;Not in Google Scholar
1187;Not in Google Scholar
1188;MIT
1189;Not in Google Scholar
119;Not in Google Scholar
1190;Not in Google Scholar
1191;Not in Google Scholar
1192;Not in Google Scholar
1193;Not in Google Scholar
1194;Not in Google Scholar
1195;Wichita State University
1196;Not in Google Scholar
1197;Not in Google Scholar
1198;Facebook
1199;Not in Google Scholar
12;Not in Google Scholar
120;Unnversity of Washington
1200;Not in Google Scholar
1201;UC San Diego
1202;Beijing University of Technology
1203;Not in Google Scholar
1204;Not in Google Scholar
1205;Durban University of Technology
1206;Not in Google Scholar
1207;Not in Google Scholar
1208;Not in Google Scholar
1209;Not in Google Scholar
121;University of Toronto
1210;Not in Google Scholar
1211;Not in Google Scholar
1212;Not in Google Scholar
1213;Not in Google Scholar
1214;Not in Google Scholar
1215;Not in Google Scholar
1216;Not in Google Scholar
1217;Not in Google Scholar
1218;Not in Google Scholar
1219;Not in Google Scholar
122;Stanford University
1220;University of Padova
1221;Technical University of Denmark
1222;Nagoya University
1223;Not in Google Scholar
1224;Not in Google Scholar
1225;Not in Google Scholar
1226;Not in Google Scholar
1227;Not in Google Scholar
1228;Georgia Tech
1229;Not in Google Scholar
123;Not in Google Scholar
1230;Not in Google Scholar
1231;Not in Google Scholar
1232;Not in Google Scholar
1233;Not in Google Scholar
1234;Not in Google Scholar
1235;University of Texas at Austin
1236;Not in Google Scholar
1237;Bruno Kessler Foundation
1238;Fondazione Bruno Kessler
1239;Not in Google Scholar
124;Not in Google Scholar
1240;Not in Google Scholar
1241;Not in Google Scholar
1242;Not in Google Scholar
1243;Google
1244;Not in Google Scholar
1245;Not in Google Scholar
1246;Hebrew University
1247;University of Stirling
1248;Not in Google Scholar
1249;Not in Google Scholar
125;Not in Google Scholar
1250;Not in Google Scholar
1251;Montanuniversität Leoben
1252;University College London
1253;Not in Google Scholar
1254;University of Cambridge
1255;Not in Google Scholar
1256;Not in Google Scholar
1257;Not in Google Scholar
1258;Not in Google Scholar
1259;Johns Hopkins University
126;Not in Google Scholar
1260;Not in Google Scholar
1261;University of New Mexico
1262;University of New Mexico
1263;Not in Google Scholar
1264;Not in Google Scholar
1265;Stanford University
1266;MIT
1267;Not in Google Scholar
1268;Not in Google Scholar
1269;University of California, San Francisco
127;Not in Google Scholar
1270;Not in Google Scholar
1271;MIT
1272;Not in Google Scholar
1273;Bogazici University, Istanbul
1274;Not in Google Scholar
1275;Ecole Normale Supérieure de Lyon
1276;University of Manchester
1277;Not in Google Scholar
1278;Tel Aviv University
1279;Not in Google Scholar
128;Not in Google Scholar
1280;Google
1281;Lehigh University
1282;Not in Google Scholar
1283;Not in Google Scholar
1284;Not in Google Scholar
1285;Not in Google Scholar
1286;University of Science and Technology of China
1287;Not in Google Scholar
1288;UC Berkeley
1289;Not in Google Scholar
129;Not in Google Scholar
1290;Not in Google Scholar
1291;University of Maryland, College Park
1292;Not in Google Scholar
1293;University of Texas Medical Branch
1294;Not in Google Scholar
1295;Not in Google Scholar
1296;Not in Google Scholar
1297;Duquesne University
1298;University of Wisconsin
1299;Not in Google Scholar
13;Cairo University
130;Not in Google Scholar
1300;Not in Google Scholar
1301;Not in Google Scholar
1302;City College of New York
1303;Queen Mary University of London
1304;Not in Google Scholar
1305;Not in Google Scholar
1306;Not in Google Scholar
1307;Not in Google Scholar
1308;Fred Hutchinson Cancer Research Center
1309;Uniwersytet Miko?aja Kopernika
131;Not in Google Scholar
1310;UCSD
1311;Univ of California San Diego
1312;University of Texas at Austin
1313;Carnegie Mellon University
1314;Not in Google Scholar
1315;Not in Google Scholar
1316;Not in Google Scholar
1317;Not in Google Scholar
1318;Not in Google Scholar
1319;Not in Google Scholar
132;Not in Google Scholar
1320;Not in Google Scholar
1321;University of Helsinki
1322;Not in Google Scholar
1323;Hong Kong University of Science and Technology
1324;Not in Google Scholar
1325;Not in Google Scholar
1326;Harvard University
1327;Not in Google Scholar
1328;Not in Google Scholar
1329;Not in Google Scholar
133;Not in Google Scholar
1330;Not in Google Scholar
1331;Not in Google Scholar
1332;University of Toyama
1333;Not in Google Scholar
1334;Not in Google Scholar
1335;RIKEN
1336;Not in Google Scholar
1337;Technical University of Denmark
1338;Not in Google Scholar
1339;Not in Google Scholar
134;Not in Google Scholar
1340;Not in Google Scholar
1341;Not in Google Scholar
1342;Not in Google Scholar
1343;University of California at Berkeley
1344;Not in Google Scholar
1345;Carnegie Mellon University
1346;Not in Google Scholar
1347;Not in Google Scholar
1348;Not in Google Scholar
1349;Not in Google Scholar
135;ENS
1350;Not in Google Scholar
1351;University of Texas Austin
1352;Not in Google Scholar
1353;Not in Google Scholar
1354;Not in Google Scholar
1355;Stanford University
1356;Not in Google Scholar
1357;Not in Google Scholar
1358;Not in Google Scholar
1359;Not in Google Scholar
136;Not in Google Scholar
1360;Not in Google Scholar
1361;Institute of Statistical Mathematics
1362;Not in Google Scholar
1363;Not in Google Scholar
1364;Not in Google Scholar
1365;Not in Google Scholar
1366;Texas A&M University
1367;Not in Google Scholar
1368;Not in Google Scholar
1369;Not in Google Scholar
137;Not in Google Scholar
1370;University of Toronto
1371;Not in Google Scholar
1372;Not in Google Scholar
1373;Not in Google Scholar
1374;Not in Google Scholar
1375;Not in Google Scholar
1376;James Cook University
1377;Not in Google Scholar
1378;Not in Google Scholar
1379;American Cancer Society
138;Not in Google Scholar
1380;Not in Google Scholar
1381;Not in Google Scholar
1382;Not in Google Scholar
1383;USDA Forest Service
1384;Not in Google Scholar
1385;Not in Google Scholar
1386;University of Cambridge
1387;Google
1388;Carnegie Mellon University
1389;Florida International University
139;Not in Google Scholar
1390;Cornell Tech
1391;Not in Google Scholar
1392;Not in Google Scholar
1393;Not in Google Scholar
1394;Not in Google Scholar
1395;Not in Google Scholar
1396;Not in Google Scholar
1397;NICT
1398;Not in Google Scholar
1399;University of Genoa
14;Not in Google Scholar
140;Carnegie Mellon University
1400;University of Genoa
1401;Not in Google Scholar
1402;Not in Google Scholar
1403;Radboud University Nijmegen
1404;TU Berlin
1405;Not in Google Scholar
1406;Not in Google Scholar
1407;Not in Google Scholar
1408;CQU
1409;Not in Google Scholar
141;Not in Google Scholar
1410;Not in Google Scholar
1411;Not in Google Scholar
1412;Not in Google Scholar
1413;New York University
1414;Not in Google Scholar
1415;Not in Google Scholar
1416;Not in Google Scholar
1417;Not in Google Scholar
1418;Not in Google Scholar
1419;Not in Google Scholar
142;Not in Google Scholar
1420;Not in Google Scholar
1421;Not in Google Scholar
1422;Not in Google Scholar
1423;Not in Google Scholar
1424;Not in Google Scholar
1425;Not in Google Scholar
1426;Not in Google Scholar
1427;University of California, Riverside
1428;Portland State University
1429;University of California, Santa Cruz
143;University of Birmingham
1430;Not in Google Scholar
1431;Technion
1432;Technion
1433;Not in Google Scholar
1434;Not in Google Scholar
1435;Not in Google Scholar
1436;Not in Google Scholar
1437;Not in Google Scholar
1438;University of Pittsburgh
1439;Not in Google Scholar
144;Not in Google Scholar
1440;Aalto University
1441;Massachusetts Institute of Technology
1442;Not in Google Scholar
1443;Not in Google Scholar
1444;Not in Google Scholar
1445;Not in Google Scholar
1446;Not in Google Scholar
1447;Not in Google Scholar
1448;Washington University in Saint Louis
1449;UC Berkeley
145;Not in Google Scholar
1450;Not in Google Scholar
1451;University of Manitoba
1452;Not in Google Scholar
1453;Albert-Ludwigs-Universitaet Freiburg
1454;Istituto Italiano di Tecnologia
1455;Not in Google Scholar
1456;Not in Google Scholar
1457;Not in Google Scholar
1458;Georgetown University
1459;William Paterson University
146;Not in Google Scholar
1460;Not in Google Scholar
1461;Not in Google Scholar
1462;Not in Google Scholar
1463;Not in Google Scholar
1464;Univ. of Pennsylvania
1465;Not in Google Scholar
1466;Indiana University
1467;Not in Google Scholar
1468;Not in Google Scholar
1469;Not in Google Scholar
147;Not in Google Scholar
1470;Not in Google Scholar
1471;University of British Columbia
1472;Not in Google Scholar
1473;Not in Google Scholar
1474;Technical University of Denmark
1475;Not in Google Scholar
1476;Not in Google Scholar
1477;Aston University
1478;Not in Google Scholar
1479;Not in Google Scholar
148;Not in Google Scholar
1480;Not in Google Scholar
1481;Not in Google Scholar
1482;Not in Google Scholar
1483;University of California San Francisco
1484;Carnegie Mellon University
1485;Not in Google Scholar
1486;Not in Google Scholar
1487;George Mason University
1488;Not in Google Scholar
1489;Not in Google Scholar
149;Not in Google Scholar
1490;Mississippi State University
1491;University of Massachusetts Amherst
1492;Not in Google Scholar
1493;Not in Google Scholar
1494;Not in Google Scholar
1495;Not in Google Scholar
1496;Not in Google Scholar
1497;Not in Google Scholar
1498;Oregon State University
1499;Not in Google Scholar
15;University of Glasgow
150;Tsinghua University
1500;Rice University
1501;Univ. of Texas at Austin
1502;Not in Google Scholar
1503;Not in Google Scholar
1504;Google
1505;MIT
1506;Not in Google Scholar
1507;University of York
1508;University of New South Wales
1509;Austrian Research Institute for Artificial Intelligence
1510;Not in Google Scholar
1511;Not in Google Scholar
1512;Not in Google Scholar
1513;Not in Google Scholar
1514;Not in Google Scholar
1515;Not in Google Scholar
1516;Not in Google Scholar
1517;Not in Google Scholar
1518;Not in Google Scholar
1519;Not in Google Scholar
152;Not in Google Scholar
1520;Not in Google Scholar
1521;NICT
1522;University of York
1523;Hebrew University
1524;National University of Singapore
1525;Not in Google Scholar
1526;Johns Hopkins University
1527;Not in Google Scholar
1528;University of Technology Sydney
1529;Not in Google Scholar
153;Not in Google Scholar
1530;Not in Google Scholar
1531;Aalto University
1532;Not in Google Scholar
1533;Not in Google Scholar
1534;Not in Google Scholar
1535;Not in Google Scholar
1536;Not in Google Scholar
1537;Not in Google Scholar
1538;Google
1539;Not in Google Scholar
154;Not in Google Scholar
1540;Not in Google Scholar
1541;Not in Google Scholar
1542;Not in Google Scholar
1543;Not in Google Scholar
1544;Georgia Tech
1545;Not in Google Scholar
1546;Not in Google Scholar
1547;Boston University
1548;Scripps Research Institute
1549;Not in Google Scholar
155;Not in Google Scholar
1550;University of California, Merced
1551;Not in Google Scholar
1552;Not in Google Scholar
1553;Not in Google Scholar
1554;Not in Google Scholar
1555;Not in Google Scholar
1556;Not in Google Scholar
1557;University of Tennessee, Knoxville
1558;Not in Google Scholar
1559;National University of Singapore
156;Not in Google Scholar
1560;Amazon
1561;Medical College of Wisconsin
1562;University of British Columbia
1563;Not in Google Scholar
1564;Not in Google Scholar
1565;Bar-Ilan University
1566;Not in Google Scholar
1567;itu
1568;Not in Google Scholar
1569;Not in Google Scholar
157;Not in Google Scholar
1570;Not in Google Scholar
1571;Not in Google Scholar
1572;Not in Google Scholar
1573;McGill University
1574;University of New Mexico
1575;Northeastern University
1576;Not in Google Scholar
1577;Not in Google Scholar
1578;UCLA
1579;Not in Google Scholar
158;Not in Google Scholar
1580;Not in Google Scholar
1581;Not in Google Scholar
1582;University of Bristol
1583;Pontificia Universidad Católica del Perú
1584;Hong Kong University of Science and Technology
1585;Not in Google Scholar
1586;Amazon.com
1587;Not in Google Scholar
1588;Not in Google Scholar
1589;Ulm University
159;University of East Anglia, Norwich
1590;University of Manchester
1591;Technion - Israel Institute of Technology
1592;Not in Google Scholar
1593;UC Berkeley
1594;Not in Google Scholar
1595;Not in Google Scholar
1596;Not in Google Scholar
1597;University of Edinburgh
1598;Not in Google Scholar
1599;Not in Google Scholar
16;NEC Laboratories America
160;Not in Google Scholar
1600;Not in Google Scholar
1601;Not in Google Scholar
1602;Duke University
1603;University of California, Berkeley
1604;Not in Google Scholar
1605;Kent State University
1606;University of Edinburgh
1607;Not in Google Scholar
1608;Not in Google Scholar
1609;Not in Google Scholar
161;Not in Google Scholar
1610;Not in Google Scholar
1611;Not in Google Scholar
1612;Amazon
1613;Not in Google Scholar
1614;Not in Google Scholar
1615;Not in Google Scholar
1616;Not in Google Scholar
1617;Asian Institute of Technology
1618;Memorial Sloan Kettering Cancer Center
1619;Not in Google Scholar
162;Not in Google Scholar
1620;Not in Google Scholar
1621;Not in Google Scholar
1622;Not in Google Scholar
1623;Not in Google Scholar
1624;Not in Google Scholar
1625;Not in Google Scholar
1626;University of Leuven
1627;KULeuven
1628;KU Leuven
1629;Not in Google Scholar
163;Not in Google Scholar
1630;Hebrew University
1631;Eli Lilly and Company
1632;Radboud University
1633;Not in Google Scholar
1634;Not in Google Scholar
1635;Not in Google Scholar
1636;Princeton University
1637;Not in Google Scholar
1638;Not in Google Scholar
1639;Not in Google Scholar
164;Not in Google Scholar
1640;Not in Google Scholar
1641;Not in Google Scholar
1642;Not in Google Scholar
1643;Medical University of Vienna
1644;Not in Google Scholar
1645;Not in Google Scholar
1646;Not in Google Scholar
1647;Not in Google Scholar
1648;Carnegie Mellon University
1649;Not in Google Scholar
165;Not in Google Scholar
1650;Not in Google Scholar
1651;Not in Google Scholar
1652;UMass Amherst
1653;Not in Google Scholar
1654;Not in Google Scholar
1655;Not in Google Scholar
1656;Not in Google Scholar
1657;Not in Google Scholar
1658;Not in Google Scholar
1659;Not in Google Scholar
166;Not in Google Scholar
1660;University of California, San Diego
1661;Not in Google Scholar
1662;Not in Google Scholar
1663;Not in Google Scholar
1664;Not in Google Scholar
1665;Not in Google Scholar
1666;UCL
1667;Oxford University
1668;Not in Google Scholar
1669;Not in Google Scholar
167;Not in Google Scholar
1670;UCL
1671;Not in Google Scholar
1672;Not in Google Scholar
1673;Bryant University
1674;University of Texas Medical School at Houston
1675;Not in Google Scholar
1676;Not in Google Scholar
1677;CSIC
1678;Not in Google Scholar
1679;Not in Google Scholar
168;Not in Google Scholar
1680;Not in Google Scholar
1681;Not in Google Scholar
1682;Not in Google Scholar
1683;Not in Google Scholar
1684;Not in Google Scholar
1685;Not in Google Scholar
1686;Not in Google Scholar
1687;Not in Google Scholar
1688;Not in Google Scholar
1689;Aalto University
169;Not in Google Scholar
1690;Not in Google Scholar
1691;Not in Google Scholar
1692;Univ of Colorado
1693;Not in Google Scholar
1694;University of Pennsylvania
1695;Not in Google Scholar
1696;University of Houston
1697;University of Southern California
1698;Not in Google Scholar
1699;Not in Google Scholar
17;University of Colorado
170;Not in Google Scholar
1700;Not in Google Scholar
1701;University of Illinois
1702;University of California San Diego
1703;Not in Google Scholar
1704;Not in Google Scholar
1705;Not in Google Scholar
1706;USC
1707;University of Wisconsin-Madison
1708;Not in Google Scholar
1709;Not in Google Scholar
171;Not in Google Scholar
1710;Queen's University Belfast
1711;Not in Google Scholar
1712;Not in Google Scholar
1713;EURECOM
1714;Not in Google Scholar
1715;Not in Google Scholar
1716;Not in Google Scholar
1717;Not in Google Scholar
1718;Not in Google Scholar
1719;Not in Google Scholar
172;University of California Irvine
1720;Not in Google Scholar
1721;Edmund Mach Foundation
1722;Not in Google Scholar
1723;Not in Google Scholar
1724;Not in Google Scholar
1725;Not in Google Scholar
1726;Not in Google Scholar
1727;Not in Google Scholar
1728;Not in Google Scholar
1729;University of york
173;Not in Google Scholar
1730;Not in Google Scholar
1731;National Institute of Advanced Industrial Science and Technology
1732;Not in Google Scholar
1733;Not in Google Scholar
1734;University of Illinois at Urbana Champaign
1735;Not in Google Scholar
1736;UTC
1737;Not in Google Scholar
1738;Not in Google Scholar
1739;Not in Google Scholar
174;Not in Google Scholar
1740;Not in Google Scholar
1741;Université Libre de Bruxelles
1742;ULB
1743;Université Libre de Bruxelles
1744;University of Wisconsin
1745;Not in Google Scholar
1746;Not in Google Scholar
1747;Foscari University of Venice
1748;Not in Google Scholar
1749;Not in Google Scholar
175;Not in Google Scholar
1750;Not in Google Scholar
1751;Northeastern University
1752;Not in Google Scholar
1753;University of California, Irvine
1754;Not in Google Scholar
1755;Not in Google Scholar
1756;Brandeis University
1757;Not in Google Scholar
1758;Not in Google Scholar
1759;University of New Mexico
176;Not in Google Scholar
1760;Not in Google Scholar
1761;NYU
1762;University of Miami
1763;Not in Google Scholar
1764;Not in Google Scholar
1765;Not in Google Scholar
1766;Columbia University
1767;Not in Google Scholar
1768;University of Glasgow
1769;Not in Google Scholar
177;U of Toronto
1770;MIT
1771;Not in Google Scholar
1772;Walter and Eliza Hall Institute of Medical Research
1773;Not in Google Scholar
1774;Not in Google Scholar
1775;Not in Google Scholar
1776;Not in Google Scholar
1777;Not in Google Scholar
1778;Not in Google Scholar
1779;École de technologie supérieure
178;U. Montreal
1780;Not in Google Scholar
1781;Not in Google Scholar
1782;Not in Google Scholar
1783;Not in Google Scholar
1784;Not in Google Scholar
1785;Bar Ilan University
1786;University of Pennsylvania
1787;University of Oklahoma
1788;Not in Google Scholar
1789;Not in Google Scholar
179;Not in Google Scholar
1790;Not in Google Scholar
1791;UCLA
1792;Not in Google Scholar
1793;Not in Google Scholar
1794;Not in Google Scholar
1795;Tokyo Institute of Technology
1796;Amazon
1797;Not in Google Scholar
1798;Not in Google Scholar
1799;Not in Google Scholar
18;Not in Google Scholar
180;Mc Gill University
1800;University of California San Diego
1801;Not in Google Scholar
1802;Not in Google Scholar
1803;Not in Google Scholar
1804;Not in Google Scholar
1805;Not in Google Scholar
1806;University of Maryland
1807;Not in Google Scholar
1808;Renssealer Polytechnic Institute
1809;Gebze Technical University
181;Not in Google Scholar
1810;Not in Google Scholar
1811;Not in Google Scholar
1812;Not in Google Scholar
1813;Not in Google Scholar
1814;Stanford University
1815;University of Manchester
1816;Not in Google Scholar
1817;Not in Google Scholar
1818;Hebrew University
1819;Google
182;Not in Google Scholar
1820;University of Illinois, Urbana Champaign
1821;University of Oxford
1822;Not in Google Scholar
1823;Not in Google Scholar
1824;Not in Google Scholar
1825;Not in Google Scholar
1826;Not in Google Scholar
1827;Not in Google Scholar
1828;Kyoto University
1829;Not in Google Scholar
183;Indiana University
1830;Not in Google Scholar
1831;Indian Institute of Technology Madras
1832;University of Southern California
1833;National Institute of Standards and Technology
1834;Not in Google Scholar
1835;Not in Google Scholar
1836;Not in Google Scholar
1837;Not in Google Scholar
1838;Not in Google Scholar
1839;Not in Google Scholar
184;Not in Google Scholar
1840;Not in Google Scholar
1841;Not in Google Scholar
1842;Not in Google Scholar
1843;Not in Google Scholar
1844;Not in Google Scholar
1845;University College London
1846;Not in Google Scholar
1847;Institute of Statistical Mathematics
1848;Not in Google Scholar
1849;Not in Google Scholar
1850;Not in Google Scholar
1851;Not in Google Scholar
1852;Not in Google Scholar
1853;Not in Google Scholar
1854;Not in Google Scholar
1855;Not in Google Scholar
1856;University College London
1857;Not in Google Scholar
1858;Not in Google Scholar
1859;Not in Google Scholar
186;New Jersey Institute of Technology
1860;Not in Google Scholar
1861;FORTH
1862;Not in Google Scholar
1863;UC Berkeley
1864;Not in Google Scholar
1865;Not in Google Scholar
1866;Duke University
1867;Johns Hopkins University
1868;Not in Google Scholar
1869;Weizmann Institute of Science
1870;Hebrew University of Jerusalem
1871;Not in Google Scholar
1872;Toyota Technological Institute at Chicago
1873;Not in Google Scholar
1874;Not in Google Scholar
1875;Not in Google Scholar
1876;Not in Google Scholar
1877;Not in Google Scholar
1878;University of North Carolina at Chapel Hill
1879;Not in Google Scholar
188;Not in Google Scholar
1880;Not in Google Scholar
1881;Not in Google Scholar
1882;Not in Google Scholar
1883;UC Berkeley
1884;University of Sheffield
1885;University of Tokyo
1886;Not in Google Scholar
1887;Not in Google Scholar
1888;University of Waterloo
1889;Rice University
189;Not in Google Scholar
1890;University of Hamburg
1891;Siemens Corporation
1892;Apple
1893;Not in Google Scholar
1894;University College Dublin
1895;Apple
1896;Rochester Institute of Technology
1897;Not in Google Scholar
1898;Mitsubishi Electric Research Laboratories
1899;Not in Google Scholar
19;Not in Google Scholar
190;Weizmann Institute of Science
1900;Not in Google Scholar
1901;Not in Google Scholar
1902;Georgia State University
1903;Not in Google Scholar
1904;University of Alberta
1905;Technical University of Munich
1906;Not in Google Scholar
1907;Not in Google Scholar
1908;Not in Google Scholar
1909;Huazhong University of Science and Technology
191;University of Colorado
1910;Not in Google Scholar
1911;Not in Google Scholar
1912;Facebook
1913;University of Toyama
1914;University of São Paulo
1915;Not in Google Scholar
1916;Champalimaud Neuroscience Programme
1917;Not in Google Scholar
1918;Not in Google Scholar
1919;Not in Google Scholar
192;Not in Google Scholar
1920;Not in Google Scholar
1921;Not in Google Scholar
1922;Technion - Israel Institute of Technology
1923;Not in Google Scholar
1924;Not in Google Scholar
1925;Oxford
1926;Google
1927;Not in Google Scholar
1928;Not in Google Scholar
1929;Not in Google Scholar
1930;Ecole Polytechnique Federale de Lausanne
1931;University of Bath
1932;Johns Hopkins University
1933;Google
1934;itya'B. Chklovskii
1935;Not in Google Scholar
1936;Florida State University
1937;University of Sydney
1938;Not in Google Scholar
1939;University of Sydney
1940;University of Basel
1941;Bonn Univ
1942;Not in Google Scholar
1943;University of Bristol
1944;Utah State University
1945;Not in Google Scholar
1946;University of California at Merced
1947;University of Illinois at Urbana-Champagn
1948;Not in Google Scholar
1949;Oxford univerisity
195;Not in Google Scholar
1950;Columbia University
1951;Not in Google Scholar
1952;UC Berkeley
1953;Not in Google Scholar
1954;Not in Google Scholar
1955;University of Southern California
1956;Not in Google Scholar
1957;Not in Google Scholar
1958;Not in Google Scholar
1959;Not in Google Scholar
196;Not in Google Scholar
1960;Not in Google Scholar
1961;Not in Google Scholar
1962;MIT
1963;Iowa State University
1964;Colorado State University
1965;Massachusetts Institute of Technology
1966;University of California, Irvine
1967;Victoria University of Wellington
1968;Not in Google Scholar
1969;Not in Google Scholar
197;Not in Google Scholar
1970;Not in Google Scholar
1971;CNRS
1972;University of Pittsburgh
1973;Not in Google Scholar
1974;Not in Google Scholar
1975;University of Washington
1976;Google
1977;Not in Google Scholar
1978;Radboud University Nijmegen
1979;Not in Google Scholar
198;Not in Google Scholar
1980;Not in Google Scholar
1981;Not in Google Scholar
1982;Not in Google Scholar
1983;Not in Google Scholar
1984;General Electric
1985;University of British Columbia
1986;Not in Google Scholar
1987;Not in Google Scholar
1988;Not in Google Scholar
1989;Not in Google Scholar
199;San Diego State University
1990;Not in Google Scholar
1991;Not in Google Scholar
1992;Not in Google Scholar
1993;IBM
1994;Not in Google Scholar
1995;Google Inc
1996;Massachusetts Institute of Technology
1997;University of Exeter
1998;Not in Google Scholar
1999;Not in Google Scholar
2;Not in Google Scholar
20;City College of New York
200;New York University
2000;national technical university of athens
2001;University of Manchester
2002;Not in Google Scholar
2003;Emory University
2004;Not in Google Scholar
2005;Queen Mary, University of London
2006;Not in Google Scholar
2007;Not in Google Scholar
2008;Not in Google Scholar
2009;University of Melbourne
201;Not in Google Scholar
2010;Univerity of Waterloo
2011;Not in Google Scholar
2012;University of Washington
2013;Not in Google Scholar
2014;Not in Google Scholar
2015;Not in Google Scholar
2016;Not in Google Scholar
2017;Not in Google Scholar
2018;Not in Google Scholar
2019;Oxford University
202;Columbia University
2020;Not in Google Scholar
2021;Universitat Pompeu Fabra
2022;Not in Google Scholar
2023;Not in Google Scholar
2024;Not in Google Scholar
2025;university of Salerno
2026;University of Pennsylvania
2027;University of California, Riverside
2028;Analog Devices
2029;Not in Google Scholar
